Date,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,2016/04/01,
Time,00:00:00,00:05:00,00:10:00,00:15:00,00:20:00,00:25:00,00:30:00,00:35:00,00:40:00,00:45:00,00:50:00,00:55:00,
Memo,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,EKO WISER,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Sensor Temp.(deg),24.4,24.6,24.4,24.6,24.6,24.6,24.6,24.5,24.5,24.5,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
287.77,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
288.21,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,
288.65,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,
289.08,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,
289.52,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
289.95,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
290.39,0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
290.82,0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,
291.26,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,
291.69,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,
292.13,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,
292.56,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,
293.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,
293.43,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,
293.87,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,
294.30,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,
294.74,-0.03,-0.03,-0.01,-0.01,0.03,-0.03,-0.01,0.01,0.01,-0.03,-0.02,-0.01,
295.17,-0.02,-0.02,-0.01,0.01,0.02,-0.02,-0.01,-0.00,0.00,-0.02,-0.02,0.01,
295.61,-0.02,-0.03,-0.01,0.01,0.02,-0.01,-0.01,0.01,0.01,-0.01,-0.02,0.00,
296.04,-0.02,-0.03,-0.00,0.01,0.00,-0.01,0.01,0.02,0.01,-0.00,-0.01,-0.02,
296.47,-0.04,-0.03,-0.03,0.00,0.00,-0.01,-0.00,0.00,0.01,-0.00,0.01,-0.01,
296.91,-0.05,-0.03,-0.04,0.01,0.00,-0.01,-0.01,0.00,0.01,-0.00,0.00,-0.01,
297.34,-0.05,-0.01,-0.02,0.00,0.00,-0.01,-0.01,-0.00,0.02,-0.01,-0.00,0.00,
297.78,-0.05,-0.01,-0.01,0.01,-0.00,-0.02,-0.02,-0.02,0.01,-0.00,-0.01,0.01,
298.21,-0.05,-0.01,-0.01,0.02,-0.01,-0.03,-0.04,-0.01,-0.01,0.00,-0.01,0.00,
298.65,-0.04,-0.02,-0.01,0.01,-0.01,-0.02,-0.02,0.00,0.00,-0.01,0.00,-0.01,
299.08,-0.03,-0.02,-0.02,0.01,-0.01,-0.01,-0.01,0.00,0.01,-0.00,0.00,-0.00,
299.51,-0.03,-0.01,-0.02,0.01,-0.01,-0.02,-0.02,-0.01,0.01,0.01,0.01,-0.00,
299.95,-0.04,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,0.00,0.00,0.00,-0.01,
300.38,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,-0.04,-0.03,-0.00,0.00,-0.01,-0.00,
300.82,-0.02,-0.00,-0.01,-0.01,-0.03,-0.02,-0.04,-0.04,-0.01,-0.02,-0.01,0.01,
301.25,-0.01,-0.01,-0.01,0.00,-0.03,-0.02,-0.05,-0.03,-0.01,-0.01,-0.01,-0.00,
301.68,-0.00,-0.01,0.00,-0.01,-0.03,-0.01,-0.03,-0.03,0.00,-0.02,-0.01,-0.02,
302.12,-0.01,-0.01,-0.01,-0.01,-0.02,-0.00,-0.02,-0.03,0.01,-0.02,0.01,-0.02,
302.55,-0.01,-0.01,-0.02,0.00,-0.02,-0.00,-0.02,-0.02,0.01,-0.02,0.01,-0.01,
302.99,-0.01,0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.02,0.02,-0.02,-0.01,-0.00,
303.42,-0.01,-0.00,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,0.01,-0.02,-0.01,0.01,
303.85,-0.01,-0.00,-0.01,-0.00,-0.01,-0.03,-0.03,-0.01,-0.00,-0.02,-0.01,0.00,
304.29,0.00,-0.01,-0.02,0.00,-0.00,-0.03,-0.03,0.00,-0.01,-0.02,-0.00,-0.01,
304.72,0.02,-0.01,-0.02,-0.00,-0.00,-0.01,-0.01,0.01,-0.00,-0.02,-0.01,-0.01,
305.15,0.02,-0.02,-0.01,0.00,0.00,-0.01,-0.02,0.00,-0.00,-0.00,-0.01,-0.01,
305.59,0.02,-0.03,-0.02,-0.02,0.01,-0.02,-0.01,-0.00,0.00,-0.01,0.00,-0.03,
306.02,0.03,-0.03,-0.02,-0.02,0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,-0.02,
306.46,0.03,-0.01,-0.01,-0.01,0.00,-0.02,-0.02,-0.03,-0.01,-0.02,-0.01,0.00,
306.89,0.03,-0.02,-0.00,0.00,-0.00,-0.02,-0.02,-0.03,-0.02,-0.02,-0.00,-0.01,
307.32,0.03,-0.02,0.00,0.00,-0.00,-0.00,-0.02,-0.00,-0.03,-0.01,0.00,-0.02,
307.76,0.02,-0.02,-0.00,-0.00,0.00,0.01,-0.01,0.01,-0.02,-0.02,0.02,-0.02,
308.19,0.01,-0.00,-0.02,0.01,-0.00,0.01,-0.02,0.02,-0.02,-0.01,0.02,-0.02,
308.62,0.01,0.00,-0.01,0.00,0.00,0.00,-0.02,0.01,-0.02,-0.01,0.01,-0.01,
309.06,0.01,-0.01,0.00,-0.01,-0.01,-0.00,-0.02,0.00,-0.03,-0.02,0.00,-0.00,
309.49,0.01,-0.01,0.01,-0.00,-0.01,-0.02,-0.03,-0.00,-0.04,-0.02,0.01,-0.01,
309.92,0.02,-0.02,0.00,0.01,-0.01,-0.02,-0.04,-0.00,-0.04,-0.02,0.01,-0.02,
310.35,0.03,-0.02,0.00,0.00,-0.01,-0.00,-0.02,0.00,-0.03,-0.02,-0.00,-0.03,
310.79,0.02,-0.02,0.01,-0.00,-0.02,-0.00,-0.01,-0.00,-0.01,-0.01,0.00,-0.03,
311.22,0.00,-0.03,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.04,
311.65,0.00,-0.02,-0.00,-0.03,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,0.00,-0.03,
312.09,0.00,0.00,0.00,-0.02,-0.02,-0.01,-0.00,-0.02,-0.01,-0.03,-0.01,-0.01,
312.52,-0.01,0.00,0.00,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.02,-0.02,-0.01,
312.95,-0.01,-0.01,0.00,-0.01,-0.02,0.00,-0.02,0.00,-0.02,-0.02,-0.02,-0.02,
313.38,-0.00,-0.01,-0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.01,-0.04,-0.02,-0.03,
313.82,-0.02,-0.01,-0.01,0.00,-0.02,0.00,0.00,0.01,0.01,-0.02,-0.02,-0.02,
314.25,-0.03,-0.01,-0.02,-0.01,-0.00,-0.01,0.00,0.01,0.01,-0.02,-0.02,-0.01,
314.68,-0.03,-0.04,-0.02,-0.03,0.00,-0.02,0.00,0.00,0.01,-0.03,-0.03,-0.02,
315.12,-0.03,-0.04,-0.01,-0.03,0.00,-0.04,-0.01,-0.00,-0.00,-0.03,-0.04,-0.02,
